key,value,updated_at,user_id,is_public
Drone Parts Workshop,26,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Drone Parts Workshop,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Emergency Center,28,2025-11-09 00:32:03.647366+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Emergency Center,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Emergency Center,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Farm,0,2025-11-06 23:54:14.775841+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Farmland 1,29,2025-11-09 00:34:57.158082+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Farmland 1,26,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Farmland 1,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Farmland 2,28,2025-11-09 00:34:57.158082+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Farmland 2,26,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Farmland 2,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Farmland 3,28,2025-11-09 00:34:57.158082+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Farmland 3,26,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Farmland 3,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Farmland 4,28,2025-11-09 00:34:57.158082+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Farmland 4,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Farmland 4,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Farmland 5,28,2025-11-09 00:34:57.158082+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Farmland 5,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Farmland 5,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Food Warehouse,22,2025-11-09 00:33:01.55253+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Food Warehouse,23,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Food Warehouse,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Garage,0,2025-11-06 23:54:15.184475+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gear Factory,21,2025-11-09 00:39:14.0808+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gear Factory,23,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Gear Factory,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Gold Mine 1,28,2025-11-09 00:33:29.944116+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gold Mine 1,30,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Gold Mine 1,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Gold Mine 2,28,2025-11-09 00:33:29.944116+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gold Mine 2,30,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Gold Mine 2,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Gold Mine 3,28,2025-11-09 00:33:29.944116+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gold Mine 3,30,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Gold Mine 3,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Gold Mine 4,28,2025-11-09 00:33:29.944116+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gold Mine 4,30,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Gold Mine 4,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Gold Mine 5,27,2025-11-09 00:33:29.944116+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Gold Mine 5,30,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Gold Mine 5,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Hospital,0,2025-11-06 23:54:19.012889+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
